iter	Passed	Remaining
402	12939	19167
403	12953	19109
404	12967	19051
405	12983	18995
406	12998	18939
407	13012	18881
408	13029	18827
409	13043	18770
410	13057	18712
411	13073	18658
412	13088	18602
413	13103	18547
414	13118	18492
415	13140	18447
416	13167	18409
417	13191	18366
418	13205	18311
419	13223	18261
420	13241	18211
421	13255	18155
422	13269	18100
423	13284	18047
424	13303	17998
425	13321	17949
426	13337	17897
427	13360	17855
428	13386	17816
429	13435	17809
430	13460	17769
431	13476	17719
432	13494	17670
433	13512	17621
434	13527	17570
435	13546	17523
436	13561	17471
437	13576	17420
438	13591	17368
439	13607	17318
440	13622	17267
441	13639	17219
442	13658	17173
443	13677	17127
444	13697	17083
445	13715	17036
446	13730	16986
447	13745	16936
448	13760	16887
449	13779	16841
450	13799	16797
451	13821	16756
452	13842	16715
453	13861	16670
454	13881	16627
455	13903	16586
456	13922	16543
457	13955	16514
458	13977	16475
459	14000	16435
460	14023	16395
461	14042	16352
462	14063	16311
463	14087	16273
464	14111	16235
465	14136	16199
466	14157	16158
467	14181	16120
468	14199	16076
469	14215	16030
470	14230	15983
471	14246	15936
472	14261	15889
473	14274	15840
474	14289	15793
475	14305	15748
476	14320	15701
477	14336	15655
478	14352	15610
479	14370	15568
480	14392	15529
481	14410	15486
482	14428	15444
483	14444	15399
484	14460	15355
485	14476	15310
486	14493	15267
487	14512	15226
488	14530	15184
489	14545	15139
490	14561	15095
491	14579	15053
492	14597	15012
493	14621	14976
494	14665	14961
495	14696	14933
496	14725	14903
497	14745	14863
498	14764	14824
499	14786	14786
500	14805	14746
501	14843	14725
502	14861	14683
503	14878	14642
504	14895	14600
505	14912	14558
506	14928	14516
507	14944	14474
508	14961	14432
509	14979	14392
510	14996	14350
511	15013	14309
512	15029	14267
513	15045	14225
514	15061	14184
515	15077	14142
516	15094	14101
517	15110	14060
518	15127	14019
519	15143	13978
520	15159	13937
521	15175	13896
522	15192	13856
523	15209	13815
524	15227	13777
525	15243	13736
526	15260	13696
527	15278	13658
528	15295	13618
529	15314	13580
530	15333	13543
531	15347	13501
532	15369	13466
533	15386	13426
534	15404	13388
535	15420	13349
536	15437	13309
537	15453	13270
538	15470	13231
539	15486	13191
540	15503	13153
541	15523	13117
542	15554	13091
543	15584	13063
544	15618	13038
545	15646	13010
546	15685	12990
547	15747	12989
548	15800	12979
549	15836	12957
550	15872	12934
551	15907	12910
552	15948	12891
553	15979	12864
554	16010	12837
555	16043	12811
556	16073	12783
557	16114	12764
558	16144	12736
559	16170	12705
560	16201	12678
561	16236	12653
562	16272	12630
563	16317	12614
564	16368	12602
565	16420	12590
566	16451	12563
567	16479	12533
568	16504	12501
569	16529	12469
570	16555	12438
571	16583	12408
572	16617	12383
573	16643	12351
574	16661	12314
575	16678	12277
576	16695	12239
577	16712	12201
578	16727	12162
579	16743	12124
580	16762	12088
581	16778	12050
582	16794	12012
583	16813	11976
584	16829	11938
585	16845	11900
586	16860	11862
587	16875	11824
588	16891	11787
589	16909	11750
590	16926	11714
591	16948	11680
592	16970	11647
593	17000	11620
594	17023	11587
595	17042	11552
596	17069	11522
597	17099	11494
598	17124	11464
599	17158	11439
600	17189	11412
601	17219	11384
602	17250	11357
603	17284	11332
604	17316	11305
605	17341	11274
606	17369	11245
607	17390	11212
608	17413	11180
609	17434	11146
610	17454	11112
611	17473	11077
612	17493	11043
613	17515	11011
614	17598	11016
615	17670	11015
616	17816	11059
617	17912	11072
618	17945	11045
619	17969	11013
620	17994	10982
621	18021	10951
622	18062	10930
623	18094	10903
624	18116	10870
625	18141	10838
626	18164	10806
627	18195	10777
628	18227	10750
629	18325	10762
630	18381	10749
631	18408	10718
632	18432	10686
633	18460	10657
634	18488	10627
635	18510	10593
636	18542	10566
637	18563	10532
638	18590	10502
639	18611	10469
640	18639	10439
641	18663	10407
642	18688	10376
643	18708	10341
644	18735	10312
645	18769	10285
646	18798	10256
647	18843	10235
648	18900	10222
649	18933	10194
650	18955	10162
651	18991	10136
652	19011	10102
653	19029	10067
654	19047	10032
655	19065	9997
656	19084	9963
657	19103	9929
658	19122	9894
659	19139	9859
660	19167	9830
661	19193	9799
662	19219	9769
663	19246	9739
664	19277	9711
665	19317	9687
666	19351	9661
667	19390	9637
668	19435	9616
669	19493	9601
670	19530	9576
671	19552	9543
672	19576	9512
673	19616	9487
674	19647	9459
675	19692	9438
676	19716	9406
677	19749	9379
678	19990	9450
679	20095	9456
680	20187	9456
681	20301	9466
682	20473	9502
683	20610	9521
684	20719	9527
685	20755	9500
686	20870	9508
687	20965	9507
688	21018	9487
689	21051	9457
690	21092	9432
691	21158	9417
692	21228	9404
693	21285	9385
694	21357	9372
695	21431	9361
696	21480	9337
697	21541	9320
698	21615	9307
699	21700	9300
700	21740	9272
701	21763	9238
702	21793	9207
703	21820	9174
